routine_id,routine_name,day_order,day_name,superset_id,n_miembros,posicion_actual,posicion_esperada,correcta,posiciones_miembros,posiciones_sueltos
1152,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 8-AVANZADO-3 DIAS,2,Pierna,1540,2,0,2,NO,2 3,1 4 7 8
1152,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 8-AVANZADO-3 DIAS,2,Pierna,1541,2,1,5,NO,5 6,1 4 7 8
1152,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 8-AVANZADO-3 DIAS,3,Hombro-Bíceps-Tríceps,1542,2,0,5,NO,5 6,1 2 3 4
1152,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 8-AVANZADO-3 DIAS,3,Hombro-Bíceps-Tríceps,1543,2,1,7,NO,7 8,1 2 3 4
1151,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 8-AVANZADO-4 DIAS,1,Pecho-Espalda,1530,2,0,1,NO,1 2,3 4 5 6
1151,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 8-AVANZADO-4 DIAS,1,Pecho-Espalda,1531,2,1,7,NO,7 8,3 4 5 6
1151,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 8-AVANZADO-4 DIAS,2,Pierna,1532,2,0,5,NO,5 6,1 2 3 4
1151,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 8-AVANZADO-4 DIAS,2,Pierna,1533,2,1,7,NO,7 8,1 2 3 4
1151,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 8-AVANZADO-4 DIAS,3,Hombro-Bíceps-Tríceps,1534,2,0,5,NO,5 6,1 2 3 4
1151,RECOMPOSICION-CHICOS-MANCUERNAS Y GOMAS-FULLBODY DESCEN-MES 8-AVANZADO-4 DIAS,3,Hombro-Bíceps-Tríceps,1535,2,1,7,NO,7 8,1 2 3 4
